brand,year,season,num,r,g,b,a
chanel,2019,fall,12,220,222,224,253
chanel,2019,fall,12,156,158,164,252
chanel,2019,fall,12,87,90,99,252
chanel,2019,fall,12,28,34,41,253
chanel,2020,fall,15,175,177,139,251
chanel,2020,fall,15,213,206,168,253
chanel,2020,fall,15,152,152,108,253
chanel,2020,fall,15,16,24,29,253
chanel,2019,spring,60,205,173,160,252
chanel,2019,spring,60,215,212,223,252
chanel,2019,spring,60,166,160,165,248
chanel,2019,spring,60,157,108,90,250
chanel,2019,spring,70,217,154,137,253
chanel,2019,spring,70,163,110,92,253
chanel,2019,spring,70,98,84,85,251
chanel,2019,spring,70,23,22,37,253
chanel,2020,spring,16,231,221,224,250
chanel,2020,spring,16,218,171,147,252
chanel,2020,spring,16,95,89,92,242
chanel,2020,spring,16,29,26,28,246
chanel,2020,spring,64,94,87,87,251
chanel,2020,spring,64,219,172,156,253
chanel,2020,spring,64,159,154,153,252
chanel,2020,spring,64,25,24,26,253
chanel,2020,spring,74,229,229,230,252
chanel,2020,spring,74,219,173,147,253
chanel,2020,spring,74,30,29,31,252
chanel,2020,spring,74,202,146,116,253
chanel,2018,spring,78,222,223,223,253
chanel,2018,spring,78,214,198,182,253
chanel,2018,spring,78,205,174,160,253
chanel,2018,spring,78,175,162,154,250
chanel,2018,spring,68,223,221,179,253
chanel,2018,spring,68,210,173,149,253
chanel,2018,spring,68,150,115,90,251
chanel,2018,spring,68,232,232,205,253
chanel,2019,spring,12,153,111,101,253
chanel,2019,spring,12,212,214,222,253
chanel,2019,spring,12,202,164,164,253
chanel,2019,spring,12,168,158,164,252
chanel,2020,fall,67,29,31,34,254
chanel,2020,fall,67,228,224,219,253
chanel,2020,fall,67,206,178,155,253
chanel,2020,fall,67,167,164,162,250
chanel,2020,fall,10,92,83,79,246
chanel,2020,fall,10,83,53,44,252
chanel,2020,fall,10,213,158,113,253
chanel,2020,fall,10,26,28,29,253
chanel,2019,spring,75,214,166,154,253
chanel,2019,spring,75,203,142,119,253
chanel,2019,spring,75,158,110,92,250
chanel,2019,spring,75,31,28,35,253
