brand,year,season,num,r,g,b,a
max-mara,2021,spring,11,178,141,114,253
max-mara,2021,spring,11,196,156,123,254
gucci,2021,spring,41,9,43,108,253
gucci,2021,spring,41,145,110,91,250
gucci,2021,spring,41,28,34,39,247
gucci,2021,spring,41,7,52,134,253
chanel,2021,spring,67,203,163,152,254
chanel,2021,spring,67,94,81,81,253
chanel,2021,spring,67,157,110,103,253
chanel,2021,spring,67,37,34,37,253
gucci,2021,spring,51,171,157,164,253
gucci,2021,spring,51,141,103,26,249
gucci,2021,spring,51,106,79,22,248
gucci,2021,spring,51,30,29,26,252
chloe,2021,spring,26,170,159,162,251
chloe,2021,spring,26,231,232,235,253
chloe,2021,spring,26,199,144,113,254
chloe,2021,spring,26,157,108,89,252
chloe,2021,spring,36,218,223,230,254
chloe,2021,spring,36,35,27,21,251
chloe,2021,spring,36,207,174,158,253
chloe,2021,spring,36,173,162,161,249
bevza,2021,fall,24,177,137,80,254
bevza,2021,fall,24,159,120,72,253
bevza,2021,fall,24,143,106,55,254
bevza,2021,fall,24,35,28,25,253
bevza,2021,spring,8,239,229,202,254
bevza,2021,spring,8,201,153,112,253
bevza,2021,spring,8,236,216,170,253
bevza,2021,spring,8,208,174,140,251
chanel,2021,spring,15,208,163,143,253
chanel,2021,spring,15,157,111,97,251
chanel,2021,spring,15,181,136,118,253
chanel,2021,spring,15,30,30,36,253
gucci,2021,spring,23,34,37,37,251
gucci,2021,spring,23,196,212,224,254
gucci,2021,spring,23,183,202,219,254
gucci,2021,spring,23,153,154,167,253
gucci,2021,spring,33,142,115,40,253
gucci,2021,spring,33,161,138,88,253
gucci,2021,spring,33,102,84,29,248
louis-vuitton,2021,spring,23,204,175,159,253
louis-vuitton,2021,spring,23,98,91,92,251
louis-vuitton,2021,spring,23,37,39,44,253
louis-vuitton,2021,spring,23,173,160,148,248
louis-vuitton,2021,spring,33,213,215,218,253
louis-vuitton,2021,spring,33,159,160,166,253
louis-vuitton,2021,spring,33,99,88,89,252
louis-vuitton,2021,spring,33,35,32,34,253
isabel-marant,2021,spring,22,213,165,146,253
isabel-marant,2021,spring,22,163,103,86,253
isabel-marant,2021,spring,22,86,38,41,252
isabel-marant,2021,spring,22,42,24,31,251
elder-statesman,2021,spring,17,87,47,30,253
elder-statesman,2021,spring,17,155,106,84,253
elder-statesman,2021,spring,17,24,20,35,252
elder-statesman,2021,spring,17,19,34,89,253
isabel-marant,2021,spring,32,35,51,138,254
isabel-marant,2021,spring,32,88,50,42,253
isabel-marant,2021,spring,32,37,24,28,251
isabel-marant,2021,spring,32,24,38,107,253
kenzo,2021,spring,36,163,107,91,252
kenzo,2021,spring,36,229,216,209,253
kenzo,2021,spring,36,218,172,156,253
kenzo,2021,spring,36,180,164,153,253
philosophy,2021,spring,16,12,31,30,252
philosophy,2021,spring,16,218,218,232,253
philosophy,2021,spring,16,205,168,159,253
philosophy,2021,spring,16,155,104,90,253
valentino,2021,spring,60,99,105,76,250
valentino,2021,spring,60,80,103,52,253
valentino,2021,spring,60,37,97,43,253
valentino,2021,spring,60,22,50,24,250
kenzo,2021,spring,26,97,95,89,252
kenzo,2021,spring,26,210,214,216,253
